Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base,9.86379408949578E-05,-0.000228650036753486,-0.00925201672369771,0,0,0,2.97997448302568,0.0052211679823695,-1.94341651807309E-05,3.7224428488005E-12,0.00542222153239599,2.50369490878468E-07,0.00819165502501152,0,0,0,0,0,0,package://all/meshes/base.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://all/meshes/base.STL,,old总装-1,base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
FL_hip,-0.00478668991274023,1.90133511636797E-05,0.000220638398559413,0,0,0,0.49596369164102,0.000375414753454053,3.72710970766423E-07,1.14764485110659E-06,0.000576080452703658,-1.64754274215613E-07,0.000361287065666579,0,0,0,0,0,0,package://all/meshes/FL_hip.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://all/meshes/FL_hip.STL,,hip-4,FL_hip,A_FL_hip,FL_hip_joint,revolute,0.22337,0.05997,3.4935E-05,0,0,0,base,1,0,0,0,0,0,0,,,,,,,,
FL_thigh,-0.00231149535394877,-0.0259576229949026,-0.0356321982318665,0,0,0,0.966068275353903,0.00310940642003895,3.85179694866367E-07,-0.000175863824562398,0.0035999313094822,2.0263144916902E-05,0.000622516123274145,0,0,0,0,0,0,package://all/meshes/FL_thigh.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://all/meshes/FL_thigh.STL,,220腿装配temp_GFL-1,FL_thigh,A_FL_thigh,FL_thigh_joint,revolute,0,0.1039,-0.00011167,0,0,0,FL_hip,0,1,-0.00049876,0,0,0,0,,,,,,,,
FL_calf,0.00602649928091619,-4.97049806039984E-05,-0.101341357290926,0,0,0,0.199226637039662,0.000440524293178387,3.57255687677015E-08,3.89740992060457E-05,0.000455252778380366,-1.70719853514582E-07,2.00621642857595E-05,0,0,0,0,0,0,package://all/meshes/FL_calf.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://all/meshes/FL_calf.STL,,碳腿-1,FL_calf,A_FL_calf,FL_calf_joint,revolute,-3.0669E-05,-0.00010969,-0.21992,0,0,0,FL_thigh,0,-1,0,0,0,0,0,,,,,,,,
FL_calflower,-0.028359,4.5247E-05,0.085015,0,0,0,0.19923,0.00040688,7.0189E-08,0.00012056,0.00045525,-1.5967E-07,5.371E-05,0,0,0,0,0,0,package://all/meshes/FL_calflower.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://all/meshes/FL_calflower.STL,,碳腿-1,FL_calflower,A_FL_calf,FL_calflower_joint,fixed,0.01623,-9.4952E-05,-0.19038,0,0.20787,0,FL_calf,0,0,0,,,,,,,,,,,,
FL_calflower1,-0.0556632968445171,5.99072100994358E-05,0.104609981886455,0,0,0,0.199226637039662,0.000328482374140142,1.07140860630918E-07,0.000189934126978766,0.000455252778380366,-1.37631466721513E-07,0.000132104083324005,0,0,0,0,0,0,package://all/meshes/FL_calflower1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://all/meshes/FL_calflower1.STL,,碳腿-1,FL_calflower1,A_FL_calf,FL_calflower1_joint,fixed,0,-1.466E-05,-0.030039,0,0.24731,0,FL_calflower,0,0,0,,,,,,,,,,,,
FL_foot,-0.223441718893835,-0.163657582476797,0.432014092481825,0,0,0,17.9584575209523,0.313478976587512,0.00321373557530371,0.000318074268438293,0.796782432006083,0.000435976977456983,0.840607659668379,0,0,0,0,0,0,package://all/meshes/FL_foot.STL,1,1,1,1,0,0,0,0,0,0,package://all/meshes/FL_foot.STL,,,FL_foot,A_FL_calf,FL_foot_joint,fixed,0,-1.0223E-05,-0.022821,0,-0.45518,0,FL_calflower1,0,0,0,,,,,,,,,,,,
FR_hip,-0.00478668989959685,-1.90133557331322E-05,-0.000220638398041898,0,0,0,0.495963691478909,0.000375414753416262,-3.72710970808687E-07,-1.14764485177126E-06,0.000576080452675853,-1.64754267106555E-07,0.000361287065661662,0,0,0,0,0,0,package://all/meshes/FR_hip.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://all/meshes/FR_hip.STL,,hip-3,FR_hip,A_FR_hip,FR_hip_joint,revolute,0.22337,-0.06003,3.4935E-05,0,0,0,base,1,0,0,0,0,0,0,,,,,,,,
FR_thigh,-0.00102167758546338,0.034785247828162,-0.0207384105629442,0,0,0,0.714787684293365,0.00148814418921209,-1.19460213704474E-07,-8.74970535403745E-05,0.00183898329842565,-8.77484021799609E-06,0.000475852010321108,0,0,0,0,0,0,package://all/meshes/FR_thigh.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://all/meshes/FR_thigh.STL,,220腿装配temp_GFR-1,FR_thigh,A_FR_thigh,FR_thigh_joint,revolute,0,-0.1039,5.1821E-05,0,0,0,FR_hip,0,-1,0,0,0,0,0,,,,,,,,
FR_calf,0.00602649927812829,-4.97049812005768E-05,-0.10134135729045,0,0,0,0.1992266370421,0.000440524293183489,3.57255692485137E-08,3.89740992086585E-05,0.000455252778382552,-1.70719852836245E-07,2.00621642827185E-05,0,0,0,0,0,0,package://all/meshes/FR_calf.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://all/meshes/FR_calf.STL,,碳腿-3,FR_calf,A_FR_calf,FR_calf_joint,revolute,-3.0669E-05,-0.00010972,-0.21998,0,0,0,FR_thigh,0,-1,0.00049876,0,0,0,0,,,,,,,,
FR_calflower,-0.05566329684723,5.99072095029685E-05,0.104609981885657,0,0,0,0.1992266370421,0.000328482374141607,1.07140860764565E-07,0.000189934126983584,0.000455252778382552,-1.37631465900863E-07,0.000132104083324601,0,0,0,0,0,0,package://all/meshes/FR_calflower.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://all/meshes/FR_calflower.STL,,碳腿-3,FR_calflower1,A_FR_calf,FR_calflower_joint,fixed,0.0100329862300482,-0.000109612190702879,-0.219771079017407,0,0.455181868920122,0,FR_calf,0,0,0,,,,,,,,,,,,
FR_calflower1,-0.05566329684723,5.99072095029685E-05,0.104609981885657,0,0,0,0.1992266370421,0.000328482374141607,1.07140860764561E-07,0.000189934126983584,0.000455252778382552,-1.3763146590087E-07,0.000132104083324601,0,0,0,0,0,0,package://all/meshes/FR_calflower1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://all/meshes/FR_calflower1.STL,,碳腿-3,FR_calflower1,A_FR_calf,FR_calflower1_joint,fixed,0,0,0,0,0,0,FR_calflower,0,0,0,,,,,,,,,,,,
FR_foot,-0.0066965,0.00025242,-0.0075982,0,0,0,0.032192,5.6949E-06,-1.1212E-10,1.195E-06,5.1891E-06,-6.187E-10,6.1623E-06,0,0,0,0,0,0,package://all/meshes/FR_foot.STL,1,1,1,1,0,0,0,0,0,0,package://all/meshes/FR_foot.STL,,foot_NFR-1,FR_foot,A_FR_thigh,FR_foot_joint,fixed,0,-1.0223E-05,-0.022821,0,-0.45518,0,FR_calflower1,0,0,0,,,,,,,,,,,,
